Team,2000 Opening Day Payroll ($)
New York Yankees,92938260
Los Angeles Dodgers,88871736
Atlanta Braves,84537000
Baltimore Orioles,81447435
New York Mets,79509384
Cleveland Indians,75880771
Boston Red Sox,74507000
Texas Rangers,70764884
Arizona Diamondbacks,66633667
Tampa Bay Devil Rays,62760000
St. Louis Cardinals,61460167
Colorado Rockies,61111667
Chicago Cubs,60539333
Seattle Mariners,58969834
Detroit Tigers,58240000
San Francisco Giants,53737119
San Diego Padres,52932750
Los Angeles Angels,51464167
Houston Astros,51284500
Toronto Blue Jays,48910001
Philadelphia Phillies,47326000
Cincinnati Reds,44217500
Milwaukee Brewers,36505333
Montreal Expos,33127333
Oakland Athletics,32000000
Chicago White Sox,31133500
Pittsburgh Pirates,28928333
Kansas City Royals,23433000
Florida Marlins,19895000
Minnesota Twins,15654500
