Season,Team,Wins,Losses
2000,New York Yankees,87,74
2000,Boston Red Sox,85,77
2000,Toronto Blue Jays,83,79
2000,Baltimore Orioles,74,88
2000,Tampa Bay Rays,69,92
2000,Chicago White Sox,95,67
2000,Cleveland Guardians,90,72
2000,Detroit Tigers,79,83
2000,Kansas City Royals,77,85
2000,Minnesota Twins,69,93
2000,Oakland Athletics,91,70
2000,Seattle Mariners,91,71
2000,Los Angeles Angels,82,80
2000,Texas Rangers,71,91
2000,Atlanta Braves,95,67
2000,New York Mets,94,68
2000,Miami Marlins,79,82
2000,Washington Nationals,67,95
2000,Philadelphia Phillies,65,97
2000,St. Louis Cardinals,95,67
2000,Cincinnati Reds,85,77
2000,Milwaukee Brewers,73,89
2000,Houston Astros,72,90
2000,Pittsburgh Pirates,69,93
2000,Chicago Cubs,65,97
2000,San Francisco Giants,97,65
2000,Los Angeles Dodgers,86,76
2000,Arizona Diamondbacks,85,77
2000,Colorado Rockies,82,80
2000,San Diego Padres,76,86
2001,New York Yankees,95,65
2001,Boston Red Sox,82,79
2001,Toronto Blue Jays,80,82
2001,Baltimore Orioles,63,98
2001,Tampa Bay Rays,62,100
2001,Cleveland Guardians,91,71
2001,Minnesota Twins,85,77
2001,Chicago White Sox,83,79
2001,Detroit Tigers,66,96
2001,Kansas City Royals,65,97
2001,Seattle Mariners,116,46
2001,Oakland Athletics,102,60
2001,Los Angeles Angels,75,87
2001,Texas Rangers,73,89
2001,Atlanta Braves,88,74
2001,Philadelphia Phillies,86,76
2001,New York Mets,82,80
2001,Miami Marlins,76,86
2001,Washington Nationals,68,94
2001,Houston Astros,93,69
2001,St. Louis Cardinals,93,69
2001,Chicago Cubs,88,74
2001,Milwaukee Brewers,68,94
2001,Cincinnati Reds,66,96
2001,Pittsburgh Pirates,62,100
2001,Arizona Diamondbacks,92,70
2001,San Francisco Giants,90,72
2001,Los Angeles Dodgers,86,76
2001,San Diego Padres,79,83
2001,Colorado Rockies,73,89
2002,New York Yankees,103,58
2002,Boston Red Sox,93,69
2002,Toronto Blue Jays,78,84
2002,Baltimore Orioles,67,95
2002,Tampa Bay Rays,55,106
2002,Minnesota Twins,94,67
2002,Chicago White Sox,81,81
2002,Cleveland Guardians,74,88
2002,Kansas City Royals,62,100
2002,Detroit Tigers,55,106
2002,Oakland Athletics,103,59
2002,Los Angeles Angels,99,63
2002,Seattle Mariners,93,69
2002,Texas Rangers,72,90
2002,Atlanta Braves,101,59
2002,Washington Nationals,83,79
2002,Philadelphia Phillies,80,81
2002,Miami Marlins,79,83
2002,New York Mets,75,86
2002,St. Louis Cardinals,97,65
2002,Houston Astros,84,78
2002,Cincinnati Reds,78,84
2002,Pittsburgh Pirates,72,89
2002,Chicago Cubs,67,95
2002,Milwaukee Brewers,56,106
2002,Arizona Diamondbacks,98,64
2002,San Francisco Giants,95,66
2002,Los Angeles Dodgers,92,70
2002,Colorado Rockies,73,89
2002,San Diego Padres,66,96
2003,New York Yankees,101,61
2003,Boston Red Sox,95,67
2003,Toronto Blue Jays,86,76
2003,Baltimore Orioles,71,91
2003,Tampa Bay Rays,63,99
2003,Minnesota Twins,90,72
2003,Chicago White Sox,86,76
2003,Kansas City Royals,83,79
2003,Cleveland Guardians,68,94
2003,Detroit Tigers,43,119
2003,Oakland Athletics,96,66
2003,Seattle Mariners,93,69
2003,Los Angeles Angels,77,85
2003,Texas Rangers,71,91
2003,Atlanta Braves,101,61
2003,Miami Marlins,91,71
2003,Philadelphia Phillies,86,76
2003,Washington Nationals,83,79
2003,New York Mets,66,95
2003,Chicago Cubs,88,74
2003,Houston Astros,87,75
2003,St. Louis Cardinals,85,77
2003,Pittsburgh Pirates,75,87
2003,Cincinnati Reds,69,93
2003,Milwaukee Brewers,68,94
2003,San Francisco Giants,100,61
2003,Los Angeles Dodgers,85,77
2003,Arizona Diamondbacks,84,78
2003,Colorado Rockies,74,88
2003,San Diego Padres,64,98
2004,New York Yankees,101,61
2004,Boston Red Sox,98,64
2004,Baltimore Orioles,78,84
2004,Tampa Bay Rays,70,91
2004,Toronto Blue Jays,67,94
2004,Minnesota Twins,92,70
2004,Chicago White Sox,83,79
2004,Cleveland Guardians,80,82
2004,Detroit Tigers,72,90
2004,Kansas City Royals,58,104
2004,Los Angeles Angels,92,70
2004,Oakland Athletics,91,71
2004,Texas Rangers,89,73
2004,Seattle Mariners,63,99
2004,Atlanta Braves,96,66
2004,Philadelphia Phillies,86,76
2004,Miami Marlins,83,79
2004,New York Mets,71,91
2004,Washington Nationals,67,95
2004,St. Louis Cardinals,105,57
2004,Houston Astros,92,70
2004,Chicago Cubs,89,73
2004,Cincinnati Reds,76,86
2004,Pittsburgh Pirates,72,89
2004,Milwaukee Brewers,67,94
2004,Los Angeles Dodgers,93,69
2004,San Francisco Giants,91,71
2004,San Diego Padres,87,75
2004,Colorado Rockies,68,94
2004,Arizona Diamondbacks,51,111
2005,New York Yankees,95,67
2005,Boston Red Sox,95,67
2005,Toronto Blue Jays,80,82
2005,Baltimore Orioles,74,88
2005,Tampa Bay Rays,67,95
2005,Chicago White Sox,99,63
2005,Cleveland Guardians,93,69
2005,Minnesota Twins,83,79
2005,Detroit Tigers,71,91
2005,Kansas City Royals,56,106
2005,Los Angeles Angels,95,67
2005,Oakland Athletics,88,74
2005,Texas Rangers,79,83
2005,Seattle Mariners,69,93
2005,Atlanta Braves,90,72
2005,Philadelphia Phillies,88,74
2005,New York Mets,83,79
2005,Miami Marlins,83,79
2005,Washington Nationals,81,81
2005,St. Louis Cardinals,100,62
2005,Houston Astros,89,73
2005,Milwaukee Brewers,81,81
2005,Chicago Cubs,79,83
2005,Cincinnati Reds,73,89
2005,Pittsburgh Pirates,67,95
2005,San Diego Padres,82,80
2005,Arizona Diamondbacks,77,85
2005,San Francisco Giants,75,87
2005,Los Angeles Dodgers,71,91
2005,Colorado Rockies,67,95
2006,New York Yankees,97,65
2006,Toronto Blue Jays,87,75
2006,Boston Red Sox,86,76
2006,Baltimore Orioles,70,92
2006,Tampa Bay Rays,61,101
2006,Minnesota Twins,96,66
2006,Detroit Tigers,95,67
2006,Chicago White Sox,90,72
2006,Cleveland Guardians,78,84
2006,Kansas City Royals,62,100
2006,Oakland Athletics,93,69
2006,Los Angeles Angels,89,73
2006,Texas Rangers,80,82
2006,Seattle Mariners,78,84
2006,New York Mets,97,65
2006,Philadelphia Phillies,85,77
